,Date,HomeTeam,AwayTeam,FTHG,FTAG,HGFAvg,HGAAvg,AGFAvg,AGAAvg
249,1997-02-19,Liverpool,Leeds,4.0,0.0,2.3333333333333335,0.0,0.6666666666666666,2.3333333333333335
250,1997-02-22,Chelsea,Man United,1.0,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666
251,1997-02-22,Coventry,Everton,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335
252,1997-02-22,Leicester,Derby,4.0,2.0,2.0,1.0,1.0,2.3333333333333335
253,1997-02-22,Liverpool,Blackburn,0.0,0.0,2.3333333333333335,0.0,0.3333333333333333,0.6666666666666666
254,1997-02-22,Middlesbrough,Newcastle,0.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333
255,1997-02-22,Nott'm Forest,Aston Villa,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0
256,1997-02-22,Southampton,Sheffield Weds,2.0,3.0,1.3333333333333333,2.0,2.0,1.3333333333333333
257,1997-02-22,Sunderland,Leeds,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333
258,1997-02-23,Arsenal,Wimbledon,0.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0
259,1997-02-24,West Ham,Tottenham,4.0,3.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,4.333333333333333
260,1997-02-26,Southampton,Wimbledon,0.0,0.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666
261,1997-01-03,Blackburn,Sunderland,1.0,0.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,1.0
262,1997-01-03,Derby,Chelsea,3.0,2.0,2.0,1.3333333333333333,1.3333333333333333,2.0
263,1997-01-03,Everton,Arsenal,0.0,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0
264,1997-01-03,Leeds,West Ham,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333
265,1997-01-03,Man United,Coventry,3.0,1.0,2.3333333333333335,1.0,0.6666666666666666,1.6666666666666667
266,1997-01-03,Newcastle,Southampton,0.0,1.0,2.6666666666666665,1.6666666666666667,1.0,0.6666666666666666
267,1997-01-03,Sheffield Weds,Middlesbrough,3.0,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.0
268,1997-01-03,Tottenham,Nott'm Forest,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
269,1997-01-03,Wimbledon,Leicester,1.0,3.0,1.0,1.6666666666666667,2.0,2.6666666666666665
270,1997-02-03,Aston Villa,Liverpool,1.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
271,1997-03-03,Coventry,Wimbledon,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
272,1997-04-03,Sunderland,Tottenham,0.0,4.0,0.0,1.6666666666666667,2.6666666666666665,2.0
273,1997-05-03,Chelsea,Blackburn,1.0,1.0,1.6666666666666667,1.0,0.6666666666666666,1.0
274,1997-05-03,Leicester,Aston Villa,1.0,0.0,2.0,1.0,0.0,1.3333333333333333
275,1997-05-03,Middlesbrough,Derby,6.0,1.0,3.3333333333333335,1.3333333333333333,1.0,3.3333333333333335
276,1997-05-03,Nott'm Forest,Sheffield Weds,0.0,3.0,0.0,1.3333333333333333,2.6666666666666665,1.3333333333333333
