HomeTeamHomeForm,HomeTeamForm,HomeTeamSeasonWinPerc,AwayTeamAwayForm,AwayTeamForm,AwayTeamSeasonWinPerc,HomeElo,AwayElo,HomeGoals,AwayGoals
0.0,0.0,0.2,0.3333333333333333,0.6,0.2,1593.49682617,1632.78417969,2,1
0.6666666666666666,0.4,0.4,0.0,0.0,0.2,1696.07751465,1607.97546387,0,2
0.6666666666666666,0.2,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,1739.58947754,1741.01318359,0,0
0.0,0.2,0.16666666666666666,0.0,0.4,0.3333333333333333,1704.14978027,1688.24060059,1,0
0.6666666666666666,0.2,0.5,0.0,0.0,0.16666666666666666,1653.6184082,1603.05859375,0,1
0.0,0.2,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,1625.80895996,1655.94958496,0,2
0.3333333333333333,0.2,0.5,0.0,0.2,0.0,1702.3302002,1599.95214844,4,2
1.0,1.0,0.8333333333333334,0.3333333333333333,0.6,0.3333333333333333,1855.23071289,1714.91455078,2,1
0.6666666666666666,0.4,0.5,0.3333333333333333,0.2,0.3333333333333333,1626.32873535,1678.24401855,4,0
0.3333333333333333,0.2,0.16666666666666666,0.6666666666666666,0.6,0.3333333333333333,1660.8079834,1700.34301758,3,3
0.0,0.0,0.0,0.3333333333333333,0.4,0.3333333333333333,1519.13964844,1748.98364258,1,2
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1632.97705078,1658.16918945,0,0
0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,1611.60546875,1684.13623047,3,1
0.3333333333333333,0.2,0.5714285714285714,0.3333333333333333,0.4,0.42857142857142855,1739.27807617,1727.39196777,1,2
0.0,0.0,0.2857142857142857,0.3333333333333333,0.2,0.42857142857142855,1622.55969238,1661.15136719,2,1
0.0,0.2,0.2857142857142857,0.0,0.0,0.0,1603.60925293,1650.8026123,1,4
0.6666666666666666,0.4,0.6666666666666666,0.0,0.2,0.0,1693.35058594,1633.91784668,4,1
0.6666666666666666,0.4,0.5714285714285714,0.3333333333333333,0.4,0.16666666666666666,1698.9753418,1614.02404785,2,0
0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,1703.42236328,1700.84533691,1,0
0.0,0.0,0.3333333333333333,0.6666666666666666,0.6,0.5714285714285714,1651.58862305,1734.10021973,1,2
0.3333333333333333,0.2,0.3333333333333333,0.0,0.2,0.2857142857142857,1586.3092041,1674.54724121,1,0
0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1656.01989746,1506.1340332,3,0
0.3333333333333333,0.2,0.16666666666666666,0.6666666666666666,1.0,0.8333333333333334,1664.71984863,1843.52954102,2,3
0.0,0.2,0.0,0.3333333333333333,0.6,0.16666666666666666,1605.76123047,1631.55505371,1,3
0.3333333333333333,0.6,0.5,0.0,0.0,0.0,1738.62158203,1643.48803711,1,0
0.3333333333333333,0.4,0.2857142857142857,0.0,0.4,0.0,1695.3996582,1593.86767578,2,0
0.3333333333333333,0.0,0.42857142857142855,0.0,0.0,0.3333333333333333,1626.36352539,1728.04846191,0,2
0.3333333333333333,0.2,0.5,0.3333333333333333,0.8,0.2857142857142857,1654.5333252,1708.86804199,0,3
1.0,1.0,0.8571428571428571,0.0,0.2,0.2857142857142857,1849.30871582,1660.82946777,3,1
0.3333333333333333,0.6,0.3333333333333333,0.3333333333333333,0.0,0.2857142857142857,1742.20080566,1658.94067383,1,1
0.0,0.2,0.14285714285714285,0.0,0.2,0.16666666666666666,1666.49499512,1629.17773438,0,0
0.0,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,1501.32446289,1587.91674805,2,2
0.6666666666666666,0.2,0.5,0.3333333333333333,0.4,0.2857142857142857,1666.98876953,1700.90490723,1,1
0.6666666666666666,0.4,0.42857142857142855,0.3333333333333333,0.2,0.2857142857142857,1608.39526367,1592.33251953,2,0
0.6666666666666666,0.6,0.5714285714285714,0.0,0.6,0.3333333333333333,1644.98364258,1704.60400391,3,0
0.0,0.0,0.375,0.0,0.0,0.25,1615.36816406,1663.58764648,0,0
0.6666666666666666,0.4,0.375,0.0,0.2,0.14285714285714285,1700.51647949,1632.72680664,2,1
0.0,0.2,0.42857142857142855,0.0,0.2,0.25,1639.37963867,1702.54992676,1,1
0.6666666666666666,0.8,0.5714285714285714,0.0,0.4,0.0,1742.4753418,1588.75073242,0,2
1.0,1.0,0.875,0.3333333333333333,0.2,0.2857142857142857,1852.67700195,1588.06091309,0,0
0.6666666666666666,0.6,0.625,0.0,0.0,0.0,1657.44873047,1639.63427734,4,0
0.0,0.2,0.125,0.3333333333333333,0.2,0.25,1662.94592285,1584.73999023,3,0
0.0,0.0,0.0,0.6666666666666666,0.8,0.375,1501.18041992,1724.02172852,1,0
0.3333333333333333,0.0,0.42857142857142855,0.0,0.2,0.25,1665.34362793,1657.46118164,1,1
0.6666666666666666,0.4,0.5,0.3333333333333333,0.2,0.42857142857142855,1615.98791504,1739.04382324,0,0
0.0,0.2,0.5,0.6666666666666666,0.8,0.2857142857142857,1734.07775879,1664.07348633,2,1
0.3333333333333333,0.2,0.375,1.0,0.8,0.8571428571428571,1624.34423828,1841.03820801,0,1
0.0,0.2,0.25,0.3333333333333333,0.6,0.5714285714285714,1591.7779541,1700.97741699,1,0
0.6666666666666666,0.2,0.7142857142857143,0.0,0.2,0.0,1699.29492188,1508.47717285,3,0
0.0,0.0,0.14285714285714285,0.3333333333333333,0.4,0.14285714285714285,1660.76159668,1665.93005371,1,3
0.0,0.2,0.0,0.6666666666666666,0.4,0.625,1573.83422852,1727.06640625,2,1
1.0,0.6,0.7142857142857143,0.0,0.0,0.25,1708.80334473,1658.6907959,1,1
0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1625.08789062,1610.27246094,1,0
0.3333333333333333,0.2,0.42857142857142855,0.3333333333333333,0.2,0.375,1656.19238281,1634.7130127,1,1
1.0,0.6,0.625,0.6666666666666666,0.8,0.5,1688.17810059,1718.79296875,2,1
0.6666666666666666,0.6,0.42857142857142855,0.0,0.4,0.14285714285714285,1604.51147461,1613.03222656,0,2
0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.4,0.375,1619.49853516,1738.43994141,1,0
0.0,0.2,0.375,0.3333333333333333,0.4,0.1111111111111111,1637.78564453,1590.17028809,1,0
0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1600.27099609,1583.34729004,0,0
0.6666666666666666,0.4,0.75,0.0,0.0,0.2222222222222222,1703.21679688,1646.37524414,3,2
0.6666666666666666,0.8,0.7777777777777778,0.3333333333333333,0.2,0.5555555555555556,1845.88378906,1717.55334473,2,2
0.6666666666666666,0.4,0.625,0.6666666666666666,0.6,0.4444444444444444,1705.00439453,1712.12414551,2,2
0.3333333333333333,0.6,0.2222222222222222,0.0,0.6,0.2857142857142857,1680.31652832,1694.84680176,3,1
0.3333333333333333,0.2,0.1111111111111111,0.0,0.2,0.0,1504.55529785,1630.53271484,0,0
0.0,0.0,0.375,0.3333333333333333,0.8,0.25,1662.48974609,1659.71130371,1,2
0.3333333333333333,0.2,0.375,0.3333333333333333,0.6,0.25,1653.11975098,1627.37353516,1,2
1.0,0.6,0.4444444444444444,0.0,0.0,0.0,1692.484375,1604.82775879,2,0
0.3333333333333333,0.4,0.5555555555555556,0.0,0.0,0.2222222222222222,1729.37194824,1652.28308105,1,1
0.3333333333333333,0.2,0.125,0.0,0.2,0.0,1586.26489258,1505.65881348,2,1
0.3333333333333333,0.2,0.375,1.0,0.6,0.875,1629.42907715,1840.36450195,0,3
0.6666666666666666,0.4,0.5,0.6666666666666666,0.8,0.25,1714.39672852,1689.01293945,2,2
1.0,0.6,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,1686.15039062,1702.73193359,3,2
0.0,0.0,0.125,0.3333333333333333,0.2,0.3333333333333333,1641.80932617,1642.53320312,1,0
0.6666666666666666,0.4,0.375,0.3333333333333333,0.2,0.25,1585.42272949,1597.35327148,0,1
0.6666666666666666,0.6,0.4444444444444444,0.0,0.6,0.2222222222222222,1638.54626465,1707.78271484,0,1
0.3333333333333333,0.2,0.4444444444444444,0.0,0.2,0.2222222222222222,1710.94030762,1641.55114746,0,1
0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,1598.76940918,1606.83081055,1,1
1.0,0.6,0.7,0.0,0.2,0.0,1691.98779297,1501.24963379,2,2
0.3333333333333333,0.2,0.2222222222222222,0.0,0.0,0.2,1647.35449219,1656.24145508,0,2
